Team,Unique_Counterparties,Total_PnL,Rank_CP,Rank_PnL,Average_Rank,Final_Rank
LUMD,28,39862,1,1,1,1
OTTP,18,12972,7,8,7.5,2
LUSE,15,22767,20,2,11,3
OKSA,18,7972,7,19,13,4
CNGT,18,7483,7,21,14,5
STMS,14,18320,27,4,15.5,6
OKFA,16,8221,15,17,16,7
BOJF,18,5201,7,29,18,8
REAF,13,14585,31,6,18.5,9
ALZX,16,7396,15,22,18.5,9
CASS,17,4816,12,32,22,11
RUPC,15,5846,20,26,23,12
RURR,11,13020,42,7,24.5,13
WRJF,12,8606,36,14,25,14
NYQY,22,3239,5,45,25,14
COVP,11,12400,42,9,25.5,16
GBJP,21,2067,6,51,28.5,17
CARL,10,17562,55,5,30,18
COSU,11,8017,42,18,30,18
BAKG,16,2581,15,48,31.5,20
LULR,13,4701,31,33,32,21
BRTW,14,3807,27,37,32,21
OTRJ,11,6616,42,23,32.5,23
UOKA,12,3947,36,36,36,24
HEWQ,11,4955,42,31,36.5,25
UORJ,15,1982,20,54,37,26
STSM,11,4670,42,34,38,27
CIXL,12,3510,36,41,38.5,28
UOJJ,10,6399,55,24,39.5,29
CAAN,9,10741,70,11,40.5,30
TRCR,10,5491,55,28,41.5,31
DUAH,18,327,7,77,42,32
OTAC,16,809,15,71,43,33
CIJD,10,3643,55,39,47,34
TRCS,9,6261,70,25,47.5,35
DUAO,10,3537,55,40,47.5,35
COWQ,12,1284,36,63,49.5,37
LAMO,8,8513,85,15,50,38
TMNR,9,5151,70,30,50,38
UIDR,8,7581,85,20,52.5,40
IECA,7,10796,98,10,54,41
WRFB,10,2012,55,53,54,41
IVEB,7,10037,98,12,55,43
CACM,7,8366,98,16,57,44
CHPP,6,19265,112,3,57.5,45
CASP,13,-55,31,84,57.5,45
TMRN,11,662,42,74,58,47
CADT,9,2600,70,47,58.5,48
OKRM,10,1327,55,62,58.5,48
CICL,8,3655,85,38,61.5,50
LUPC,6,8955,112,13,62.5,51
UOEH,7,5841,98,27,62.5,51
UBKK,13,-605,31,95,63,53
TMAB,11,-401,42,89,65.5,54
OKBK,23,-3214,3,133,68,55
UOEL,23,-3218,3,134,68.5,56
IEBO,8,1965,85,55,70,57
GBCP,15,-1815,20,120,70,57
UOBM,8,1758,85,56,70.5,59
CAAD,9,709,70,72,71,60
IEGA,7,2036,98,52,75,61
ZULT,6,3430,112,43,77.5,62
ELSW,7,1678,98,57,77.5,62
CAAL,8,811,85,70,77.5,62
TRJL,9,-392,70,88,79,65
COOS,9,-458,70,91,80.5,66
IEZP,13,-3031,31,130,80.5,66
TMJL,15,-5296,20,142,81,68
WRPW,15,-5581,20,143,81.5,69
BRZL,25,-18196,2,161,81.5,69
NYLX,11,-1902,42,122,82,71
UIAV,8,126,85,80,82.5,72
UOLT,12,-2905,36,129,82.5,72
WRPJ,7,876,98,68,83,74
UBAL,7,817,98,69,83.5,75
IVRK,5,4025,133,35,84,76
GBMS,17,-11792,12,157,84.5,77
CADE,6,1612,112,58,85,78
NYOP,11,-2772,42,128,85,78
UEMV,8,-185,85,87,86,80
TMAS,9,-976,70,103,86.5,81
UBLY,10,-1785,55,118,86.5,81
STMM,5,3477,133,42,87.5,83
BAMC,9,-1071,70,106,88,84
UBSK,10,-1848,55,121,88,84
BOCL,6,1219,112,65,88.5,86
